Cliente,Tipo de Cliente,Articulos comprados,Total Facturado (dolares),Modo de Pago,Sexo,Estado Civil,Edad,Calidad de Servicio,Reclamo
70,Promocional,8,95.05,American Express,Hombre,Casado,54,Bueno,3
71,Promocional,5,155.32,American Express,Hombre,Casado,30,Muy Bueno,2
72,Promocional,4,58.00,MasterCard,Hombre,Casado,32,Muy Bueno,2
73,Regular,1,69.00,American Express,Hombre,Soltero,22,Muy Bueno,1
74,Promocional,2,46.50,American Express,Hombre,Casado,32,Muy Bueno,4
75,Promocional,2,45.22,American Express,Hombre,Casado,74,Muy Bueno,2
76,Promocional,4,84.74,American Express,Hombre,Casado,62,Muy Bueno,3
77,Regular,2,39.00,American Express,Hombre,Casado,42,Muy Bueno,4
78,Promocional,4,111.14,American Express,Hombre,Casado,28,Muy Bueno,0
79,Promocional,3,86.80,American Express,Hombre,Casado,38,Muy Bueno,1
80,Regular,2,89.00,Diners Club,Hombre,Casado,54,Muy Bueno,3
81,Promocional,2,78.00,MasterCard,Hombre,Casado,68,Muy Bueno,1
82,Promocional,6,53.20,American Express,Hombre,Soltero,30,Excelente,2
83,Promocional,4,58.50,Visa,Hombre,Casado,36,Muy Bueno,0
84,Promocional,3,46.00,American Express,Hombre,Casado,44,Bueno,0
85,Regular,2,37.50,Visa,Hombre,Casado,44,Excelente,0
86,Promocional,1,20.80,American Express,Hombre,Casado,62,Muy Bueno,4
87,Regular,6,144.00,MasterCard,Hombre,Soltero,48,Bueno,3
88,Regular,4,107.00,American Express,Hombre,Casado,36,Muy Bueno,0
89,Promocional,1,31.60,American Express,Hombre,Soltero,20,Muy Bueno,4
90,Promocional,6,57.60,American Express,Hombre,Casado,42,Excelente,3
91,Promocional,4,95.20,American Express,Hombre,Casado,54,Muy Bueno,0
92,Promocional,1,22.42,American Express,Hombre,Casado,54,Muy Bueno,4
93,Regular,5,159.75,American Express,Hombre,Casado,72,Muy Bueno,3
94,Promocional,17,229.50,American Express,Hombre,Casado,30,Excelente,4
95,Regular,3,66.00,American Express,Hombre,Casado,46,Bueno,3
96,Regular,1,39.50,MasterCard,Hombre,Casado,44,Muy Bueno,1
97,Promocional,9,253.00,American Express,Hombre,Casado,30,Muy Bueno,3
98,Promocional,10,287.59,American Express,Hombre,Casado,52,Excelente,0
99,Promocional,2,47.60,American Express,Hombre,Casado,30,Muy Bueno,0
100,Promocional,1,28.44,American Express,Hombre,Casado,44,Excelente,4
